EPIC,Name,Sector
EMG,Man Group plc,Investment Banking & Investment Services
MKS,Marks & Spencer Group plc,Specialty Retailers
MSLH,Marshalls Plc,Construction Materials
MARS,Marstons plc,Hotels & Entertainment Services
MCS,McCarthy & Stone plc,Homebuilding & Construction Supplies
MDC,Mediclinic International plc,Healthcare Providers & Services
MRC,Mercantile Investment Trust Plc,Collective Investments
MCRO,Micro Focus International plc,Software & IT Services
MAB,Mitchells & Butlers Plc,Hotels & Entertainment Services
MONY,Moneysupermarket.Com,Software & IT Services
MNKS,Monks Investment Trust,Collective Investments
MGAM,Morgan Advanced Materials plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
MYI,Murray International Trust plc,Collective Investments
NEX,National Express,Passenger Transportation Services
NBLS,NB Global Floating Rate Income Fund Ltd,Collective Investments
NETW,Network International Holdings,Professional & Commercial Services
NRR,NewRiver REIT plc,Residential & Commercial REITs
NESF,NextEnergy Solar Fund Ltd,Collective Investments
OSB,OneSavings Bank plc,Banking Services
OXIG,Oxford Instruments plc,Electronic Equipment & Parts
PAGE,PageGroup plc,Professional & Commercial Services
PIN,Pantheon International,Investment Banking & Investment Services
PAG,Paragon Banking Group plc,Banking Services
PAY,Paypoint Plc,Professional & Commercial Services
PNN,Pennon Group,Professional & Commercial Services
PLI,Perpetual Income & Growth Inv Tst,Collective Investments
PNL,Personal Assets Trust plc,Collective Investments
PFC,Petrofac,Oil & Gas Related Equipment and Services
PETS,Pets At Home Group PLC,Specialty Retailers
PTEC,Playtech plc,Software & IT Services
PLUS,Plus500 Ltd,Investment Banking & Investment Services
PCT,Polar Capital Technology Trust plc,Collective Investments
PLP,Polypipe Group plc,Homebuilding & Construction Supplies
PPH,PPHE Hotel Group Ltd,Hotels & Entertainment Services
PMO,Premier Oil Plc,Oil & Gas
PHP,Primary Health Properties plc,Residential & Commercial REITs
PFG,Provident Financial plc,Banking Services
PRTC,Puretech Health plc,Biotechnology & Medical Research
PZC,PZ Cussons Plc,Personal & Household Products & Services
QQ.,QinetiQ Group plc,Aerospace & Defense
QLT,Quilter Plc,Investment Banking & Investment Services
RNK,Rank Group,Hotels & Entertainment Services
RAT,Rathbone Brothers plc,Investment Banking & Investment Services
RDW,Redrow plc,Homebuilding & Construction Supplies
RSW,Renishaw plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
RTN,Restaurant Group,Hotels & Entertainment Services
RHIM,RHI Magnesita N.V.,Construction Materials
RCP,RIT Capital Partners plc,Collective Investments
RSE,Riverstone Energy Ltd,Collective Investments
ROR,Rotork plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
RMG,Royal Mail PLC,Freight & Logistics Services
SBRE,Sabre Insurance Group Plc,Insurance
SAFE,Safestore Holdings,Residential & Commercial REITs
SNN,Sanne Group plc,Investment Banking & Investment Services
SVS,Savills plc,Real Estate Operations
SDP,Schroder Asia Pacific Fund,Collective Investments
SOI,Schroder Oriental Income Fund,Collective Investments
SCIN,Scottish Investment Trust plc,Collective Investments
SNR,Senior plc,Aerospace & Defense
SEQI,Sequoia Economic Infrastructure Income Fund Ltd,Collective Investments
SRP,Serco Group plc,Professional & Commercial Services
SHB,Shaftesbury,Residential & Commercial REITs
SHI,Sig plc,Homebuilding & Construction Supplies
SRE,Sirius Real Estate Limited,Real Estate Operations
SSON,Smithson Investment Trust Plc,Collective Investments
SCT,Softcat plc,Software & IT Services
SOPH,Sophos Group plc,Software & IT Services
SXS,Spectris plc,Electronic Equipment & Parts
SPT,Spirent Communications plc,Communications & Networking
SPD,Sports Direct Intl Plc,Specialty Retailers
SSPG,SSP Group plc,Hotels & Entertainment Services
SMP,St Modwen Properties plc,Real Estate Operations
SGC,Stagecoach Group plc,Passenger Transportation Services
SYNC,Syncona Limited,Collective Investments
SYNT,Synthomer plc,Chemicals
TALK,Talktalk Telecom Group Plc,Telecommunications Services
TATE,Tate & Lyle plc,Food & Tobacco
TBCG,TBC Bank Group Plc,Banking Services
TEP,Telecom Plus plc,Multiline Utilities
TMPL,Temple Bar Investment Trust plc,Collective Investments
TEM,Templeton Emerging Markets Inv Tst plc,Collective Investments
TRIG,The Renewables Infrastructure Group Limited,Collective Investments
TIFS,TI Fluid Systems plc,Automobiles & Auto Parts
TCAP,TP ICAP plc,Investment Banking & Investment Services
TRY,TR Property Investment Trust plc,Collective Investments
TRN,Trainline plc,Hotels & Entertainment Services
TPK,Travis Perkins plc,Specialty Retailers
BBOX,Tritax Big Box REIT plc,Residential & Commercial REITs
TLW,Tullow Oil plc,Oil & Gas
UDG,UDG Healthcare plc,Healthcare Providers & Services
UKCM,UK Commercial Property Reit Limited,Residential & Commercial REITs
ULE,Ultra Electronics Holdings,Aerospace & Defense
UTG,Unite Group,Residential & Commercial REITs
VSVS,Vesuvius plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
VCT,Victrex,Chemicals
VEIL,Vietnam Enterprise Investments Ltd,Collective Investments
VOF,VinaCapital Vietnam Opportunity Fund Ltd,Collective Investments
VMUK,Virgin Money UK plc,Banking Services
VVO,Vivo Energy Plc,Oil & Gas
WOSG,Watches Of Switzerland Group plc,Specialty Retailers
WEIR,Weir Group plc,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
SMWH,WH Smith Plc,Specialty Retailers
WMH,William Hill plc,Hotels & Entertainment Services
WTAN,Witan Investment Trust plc,Collective Investments
WIZZ,Wizz Air Holdings plc,Passenger Transportation Services
WG.,Wood Group (John) Plc,Oil & Gas Related Equipment and Services
WKP,Workspace Group Plc,Residential & Commercial REITs
WWH,Worldwide Healthcare Trust plc,Collective Investments
